"VEN_DEV_SUBSYS";"VEN";"VEN_name";"DEV";"DEV_name";"SUBSYS";"SUBSYS_name"
"VEN_1002&DEV_6741&SUBSYS_06191025";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"06191025";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_04C11028";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"04C11028";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_04C51028";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"04C51028";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_04CD1028";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"04CD1028";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_04D71028";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"04D71028";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_04D91028";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"04D91028";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_052D1028";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"052D1028";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_1617103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"1617103C";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_1646103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"1646103C";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_1647103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"1647103C";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_164B103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"164B103C";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_164E103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"164E103C";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_1688103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"1688103C";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_1689103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"1689103C";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_168A103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"168A103C";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_1860103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"1860103C";"Radeon HD 7690M"
"VEN_1002&DEV_6741&SUBSYS_3385103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"3385103C";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_3560103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"3560103C";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_358D103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"358D103C";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_3590103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"3590103C";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_3593103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"3593103C";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_366C103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"366C103C";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_1CD21043";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"1CD21043";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_21211043";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"21211043";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_21221043";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"21221043";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_21231043";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"21231043";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_21251043";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"21251043";"Radeon HD 7670M"
"VEN_1002&DEV_6741&SUBSYS_21271043";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"21271043";"Radeon HD 7670M"
"VEN_1002&DEV_6741&SUBSYS_907B104D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"907B104D";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_9080104D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"9080104D";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_9081104D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"9081104D";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_00E2106B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"00E2106B";"MacBookPro8,2 [Core i7, 15"", Late 2011]"
"VEN_1002&DEV_6741&SUBSYS_FD631179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"FD631179";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_FD651179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"FD651179";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_C093144D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"C093144D";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_C0AC144D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"C0AC144D";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_C0B3144D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"C0B3144D";"Radeon HD 6750M"
"VEN_1002&DEV_6741&SUBSYS_C539144D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"C539144D";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_C609144D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"C609144D";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_0914152D";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"0914152D";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_21E117AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"21E117AA";"Radeon HD 6630M"
"VEN_1002&DEV_6741&SUBSYS_397017AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"397017AA";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_397617AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"397617AA";"Radeon HD 6650M"
"VEN_1002&DEV_6741&SUBSYS_09071854";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6741";"Whistler [Radeon HD 6630M/6650M/6750M/7670M/7690M]";"09071854";"Radeon HD 6650M"
"VEN_1002&DEV_6742";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"";""
"VEN_1002&DEV_6742&SUBSYS_65701002";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"65701002";"Turks [Radeon HD 6570]"
"VEN_1002&DEV_6742&SUBSYS_23931019";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"23931019";"Radeon HD 6610M"
"VEN_1002&DEV_6742&SUBSYS_1D821043";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"1D821043";"K53SK Laptop Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB221179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB221179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB231179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB231179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB271179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB271179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB2A1179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB2A1179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB2C1179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB2C1179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB301179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB301179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB311179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB311179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB321179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB321179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB381179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB381179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB391179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB391179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB3A1179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB3A1179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB3B1179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB3B1179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB401179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB401179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB411179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB411179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB471179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB471179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB481179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB481179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB491179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB491179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB511179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB511179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB521179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB521179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB531179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB531179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB561179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB561179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB811179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB811179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB821179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB821179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FB831179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FB831179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FC561179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FC561179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FCD41179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FCD41179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_FCEE1179";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"FCEE1179";"Radeon HD 7610M"
"VEN_1002&DEV_6742&SUBSYS_65701458";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"65701458";"Turks [Radeon HD 6570]"
"VEN_1002&DEV_6742&SUBSYS_65701462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"65701462";"Turks [Radeon HD 6570]"
"VEN_1002&DEV_6742&SUBSYS_6570148C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"6570148C";"Turks [Radeon HD 6570]"
"VEN_1002&DEV_6742&SUBSYS_65701682";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"65701682";"Turks [Radeon HD 6570]"
"VEN_1002&DEV_6742&SUBSYS_5570174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"5570174B";"Turks [Radeon HD 5570]"
"VEN_1002&DEV_6742&SUBSYS_6570174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"6570174B";"Turks [Radeon HD 6570]"
"VEN_1002&DEV_6742&SUBSYS_7570174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"7570174B";"Turks [Radeon HD 7570]"
"VEN_1002&DEV_6742&SUBSYS_8510174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"8510174B";"Turks [Radeon HD 8510]"
"VEN_1002&DEV_6742&SUBSYS_8570174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"8570174B";"Turks [Radeon HD 8570]"
"VEN_1002&DEV_6742&SUBSYS_65701787";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"65701787";"Turks [Radeon HD 6570]"
"VEN_1002&DEV_6742&SUBSYS_657017AF";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"657017AF";"Turks [Radeon HD 6570]"
"VEN_1002&DEV_6742&SUBSYS_21118086";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6742";"Whistler LE [Radeon HD 6610M/7610M]";"21118086";"Radeon HD 6625M"
"VEN_1002&DEV_6743";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6743";"Whistler [Radeon E6760]";"";""
"VEN_1002&DEV_6749";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6749";"Turks GL [FirePro V4900]";"";""
"VEN_1002&DEV_6749&SUBSYS_2B0615C3";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6749";"Turks GL [FirePro V4900]";"2B0615C3";"MED-X4900 (EIZO)"
"VEN_1002&DEV_674A";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"674A";"Turks GL [FirePro V3900]";"";""
"VEN_1002&DEV_674A&SUBSYS_3D2213CC";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"674A";"Turks GL [FirePro V3900]";"3D2213CC";"MXRT-2500"
"VEN_1002&DEV_674A&SUBSYS_010615C3";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"674A";"Turks GL [FirePro V3900]";"010615C3";"MED-X3900"
"VEN_1002&DEV_6750";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6750";"Onega [Radeon HD 6650A/7650A]";"";""
"VEN_1002&DEV_6750&SUBSYS_26701462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6750";"Onega [Radeon HD 6650A/7650A]";"26701462";"Radeon HD 6670A"
"VEN_1002&DEV_6750&SUBSYS_307917AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6750";"Onega [Radeon HD 6650A/7650A]";"307917AA";"Radeon HD 7650A"
"VEN_1002&DEV_6750&SUBSYS_307A17AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6750";"Onega [Radeon HD 6650A/7650A]";"307A17AA";"Radeon HD 6650A"
"VEN_1002&DEV_6750&SUBSYS_308717AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6750";"Onega [Radeon HD 6650A/7650A]";"308717AA";"Radeon HD 7650A"
"VEN_1002&DEV_6750&SUBSYS_361817AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6750";"Onega [Radeon HD 6650A/7650A]";"361817AA";"Radeon HD 6650A"
"VEN_1002&DEV_6750&SUBSYS_362317AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6750";"Onega [Radeon HD 6650A/7650A]";"362317AA";"Radeon HD 6650A"
"VEN_1002&DEV_6750&SUBSYS_362717AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6750";"Onega [Radeon HD 6650A/7650A]";"362717AA";"Radeon HD 6650A"
"VEN_1002&DEV_6751";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6751";"Turks [Radeon HD 7650A/7670A]";"";""
"VEN_1002&DEV_6751&SUBSYS_05481028";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6751";"Turks [Radeon HD 7650A/7670A]";"05481028";"Radeon HD 7650A"
"VEN_1002&DEV_6751&SUBSYS_26711462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6751";"Turks [Radeon HD 7650A/7670A]";"26711462";"Radeon HD 7670A"
"VEN_1002&DEV_6751&SUBSYS_26721462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6751";"Turks [Radeon HD 7650A/7670A]";"26721462";"Radeon HD 7670A"
"VEN_1002&DEV_6751&SUBSYS_26801462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6751";"Turks [Radeon HD 7650A/7670A]";"26801462";"Radeon HD 7650A"
"VEN_1002&DEV_6751&SUBSYS_26811462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6751";"Turks [Radeon HD 7650A/7670A]";"26811462";"Radeon HD 7650A"
"VEN_1002&DEV_6751&SUBSYS_308717AA";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6751";"Turks [Radeon HD 7650A/7670A]";"308717AA";"Radeon HD 7650A"
"VEN_1002&DEV_6758";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"";""
"VEN_1002&DEV_6758&SUBSYS_0B0E1028";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"0B0E1028";"Radeon HD 6670"
"VEN_1002&DEV_6758&SUBSYS_6882103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"6882103C";"Radeon HD 6670"
"VEN_1002&DEV_6758&SUBSYS_250A1462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"250A1462";"Radeon HD 7670"
"VEN_1002&DEV_6758&SUBSYS_7670148C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"7670148C";"Radeon HD 7670"
"VEN_1002&DEV_6758&SUBSYS_76701545";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"76701545";"Radeon HD 7670"
"VEN_1002&DEV_6758&SUBSYS_33001682";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"33001682";"Radeon HD 7670"
"VEN_1002&DEV_6758&SUBSYS_7670174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"7670174B";"Radeon HD 7670"
"VEN_1002&DEV_6758&SUBSYS_E181174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"E181174B";"Radeon HD 6670"
"VEN_1002&DEV_6758&SUBSYS_23091787";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6758";"Turks XT [Radeon HD 6670/7670]";"23091787";"Radeon HD 6670"
"VEN_1002&DEV_6759";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"";""
"VEN_1002&DEV_6759&SUBSYS_3130103C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"3130103C";"Radeon HD 6570"
"VEN_1002&DEV_6759&SUBSYS_04031043";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"04031043";"Radeon HD 6570"
"VEN_1002&DEV_6759&SUBSYS_25001462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"25001462";"Radeon HD 6570"
"VEN_1002&DEV_6759&SUBSYS_25091462";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"25091462";"Radeon HD 7570"
"VEN_1002&DEV_6759&SUBSYS_7570148C";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"7570148C";"Radeon HD 7570"
"VEN_1002&DEV_6759&SUBSYS_3A671642";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"3A671642";"Radeon HD 6570"
"VEN_1002&DEV_6759&SUBSYS_32801682";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"32801682";"Radeon HD 7570"
"VEN_1002&DEV_6759&SUBSYS_35301682";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"35301682";"Radeon HD 8550"
"VEN_1002&DEV_6759&SUBSYS_52301682";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"52301682";"Radeon R5 230 series"
"VEN_1002&DEV_6759&SUBSYS_64501682";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"64501682";"Radeon HD 6450 series"
"VEN_1002&DEV_6759&SUBSYS_7570174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"7570174B";"Radeon HD 7570"
"VEN_1002&DEV_6759&SUBSYS_8550174B";"1002";"Advanced Micro Devices, Inc. [AMD/ATI]";"6759";"Turks PRO [Radeon HD 6570/7570/8550 / R5 230]";"8550174B";"Radeon HD8550 OEM"
